0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,5,1,6,2,0,7,0,0,0,0,7,7,0,6,143640877.60006726,0.0020546234377575127,133544073.90840745,0.0008170294346986752,34221561.73832255,0.0,18878301.407059163,0.000147628602194997,95146224.41557565,0.0,30700000.0,893.1261648929635
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,3,7,1,0,0,1,3,1,3,0,0,3,0,148992572.8637129,0.0,142637361.41760653,0.009638187952309566,541416856.9964582,0.41129986763389675,15063068.18035096,0.0,30351526.042379983,0.0,256100000.00000003,0.0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,6,0,0,0,1,0,0,5,0,0,0,6,0,4,144956226.29360634,0.0,2024836693.7582102,0.7786670083957765,28798397.130608946,0.0,0.0,0.0,81105853.85915002,0.0,236500000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,7,7,0,0,0,0,0,0,0,2,0,1,166265237.96810734,0.00616387031327254,181384967.31160223,0.0025137436952494996,1187111812.758846,0.35324111601572933,0.0,0.0,54355764.74753119,0.0,0.0,12948.98855633007
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,8,7,7,0,0,2,0,0,0,2,4,0,5,0,1,278244204.70442295,0.0,1806456833.92779,0.10475125544989519,0.0,0.0,17701182.393370774,0.0,66294113.011456475,0.0,30700000.0,38818.022353973545
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,9,0,0,0,0,6,0,0,0,1,7,4,134996357.6629468,0.0,89992006.20155807,0.0,822958688.8276154,0.6543841980071405,4616649.625559916,0.001230238351624975,114411258.02531242,0.0,0.0,0.0
0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,7,4,3,0,4,7,4,0,0,0,0,0,6,0,7,189876788.55561602,0.0,946029011.798856,0.31997721591791345,26403379.542306438,0.0,0.0,0.0,94338185.77629063,0.0,492600000.0,0.0
0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,3,0,0,3,0,0,6,0,0,47847947.961454235,0.0,1322984943.0091012,0.5081776878487999,24198032.45136138,0.0,8453407.696608048,0.0,40273672.383724004,0.0,448400000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,2,2,2,3,0,7,0,3,7,0,0,2,96223098.04916811,0.0,777591110.7431669,0.031938956607758,62048975.90137317,0.0,24227584.784522224,0.0,27578229.96765524,0.0,0.0,17066.85123315422
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,5,3,2,3,0,3,0,3,7,0,0,2,98043050.03325048,0.0,244709139.22745216,0.0038437173331888797,80595976.47987956,0.0030825486519870018,24227584.784522224,0.0,166406860.55836245,0.007227018737233324,0.0,6642.083698228146
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,0,7,0,6,32694901.094161935,0.0,2236612663.775095,0.8764608734413187,9348686.3261849,0.007566348887706678,15063068.18035096,0.0,95146224.41557565,0.0,84600000.0,0.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,1,4,4,0,2,3,0,1,0,0,0,1,0,0,172107283.1314149,0.0,435845880.1757033,0.14376608722588263,46650169.32145682,0.0,0.0,0.0,25037214.086173728,0.0,558500000.0,0.0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9,3,0,0,1,0,0,0,7,0,7,5,0,3,142489096.8745909,0.0,2044457045.6570878,0.28453383191365933,0.0,0.0,32304948.475029543,0.0,72580607.18485624,0.0,115300000.0,26667.194244268918
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,3,2,3,0,4,0,3,0,0,0,1,76431543.68310125,0.0,244709139.22745216,0.032030977776574,83035212.55756947,0.025687905433225015,8453407.696608048,0.0,187728903.29033345,0.07053863846708675,0.0,0.0
